"country","day","Cases","Deaths","DeathPercentage"
"Afghanistan","2024-06-30","234174","7996","3.414554989025255"
"Africa","2024-06-30","12860924","258892","2.0130124398526887"
"Albania","2024-06-30","334863","3605","1.0765596676849936"
"Algeria","2024-06-30","272010","6881","2.5296864085879194"
"All","2024-06-30","704753890","7010681","0.9947701033618984"
"Andorra","2024-06-30","48015","165","0.3436426116838488"
"Angola","2024-06-30","107327","1937","1.804764877430656"
"Anguilla","2024-06-30","3904","12","0.3073770491803279"
"Antigua-and-Barbuda","2024-06-30","9106","146","1.6033384581594552"
"Argentina","2024-06-30","10128845","130841","1.2917662379076784"
"Armenia","2024-06-30","451831","8777","1.942540463137766"
"Aruba","2024-06-30","44224","292","0.66027496382055"
"Asia","2024-06-30","221500265","1553662","0.7014267003247152"
"Australia","2024-06-30","11853144","24414","0.20597066904780706"
"Austria","2024-06-30","6081287","22542","0.37067811468197437"
"Azerbaijan","2024-06-30","835234","10400","1.2451600389830875"
"Bahamas","2024-06-30","38084","844","2.2161537653607812"
"Bahrain","2024-06-30","729549","1574","0.21574973031283712"
"Bangladesh","2024-06-30","2049377","29493","1.4391202789921034"
"Barbados","2024-06-30","110578","648","0.5860116840601205"
"Belarus","2024-06-30","994037","7118","0.7160699249625517"
"Belgium","2024-06-30","4861695","34376","0.7070784983426562"
"Belize","2024-06-30","71409","688","0.9634639891330224"
"Benin","2024-06-30","28036","163","0.5813953488372093"
"Bermuda","2024-06-30","18860","165","0.8748674443266172"
"Bhutan","2024-06-30","62697","21","0.03349442557060146"
"Bolivia","2024-06-30","1212131","22407","1.8485625728572241"
"Bosnia-and-Herzegovina","2024-06-30","403615","16388","4.060304993620158"
"Botswana","2024-06-30","330638","2801","0.8471500553475402"
"Brazil","2024-06-30","38743918","711380","1.8361075408016299"
"British-Virgin-Islands","2024-06-30","7392","64","0.8658008658008658"
"Brunei","2024-06-30","343719","225","0.06546044879683695"
"Bulgaria","2024-06-30","1339851","38748","2.891963360104967"
"Burkina-Faso","2024-06-30","22114","400","1.8088088993397848"
"Burundi","2024-06-30","54721","38","0.06944317538056688"
"CAR","2024-06-30","15440","113","0.7318652849740933"
"Cabo-Verde","2024-06-30","64477","417","0.6467422491741242"
"Cambodia","2024-06-30","139103","3056","2.1969332077669064"
"Cameroon","2024-06-30","125379","1974","1.5744263393391238"
"Canada","2024-06-30","4946090","59034","1.1935488436320407"
"Caribbean-Netherlands","2024-06-30","11682","38","0.32528676596473205"
"Cayman-Islands","2024-06-30","31472","37","0.1175648195221149"
"Chad","2024-06-30","7701","194","2.519153356706921"
"Channel-Islands","2024-06-30","101717","228","0.22415132180461478"
"Chile","2024-06-30","5384853","64497","1.1977485736379434"
"China","2024-06-30","503302","5272","1.0474824260583109"
"Colombia","2024-06-30","6400173","143200","2.2374395192129963"
"Comoros","2024-06-30","9109","161","1.7674827094082775"
"Congo","2024-06-30","25375","386","1.5211822660098522"
"Cook-Islands","2024-06-30","7203","2","0.027766208524226017"
"Costa-Rica","2024-06-30","1238883","9428","0.7610081016528599"
"Croatia","2024-06-30","1309728","18687","1.4267847980649417"
"Cuba","2024-06-30","1115251","8530","0.7648502444741139"
"Cura&ccedil;ao","2024-06-30","45986","295","0.6414995868307746"
"Cyprus","2024-06-30","681110","1365","0.20040815727268724"
"Czechia","2024-06-30","4759041","43517","0.914406915174717"
"DPRK","2024-06-30","4772813","74","0.0015504483414707428"
"DRC","2024-06-30","99338","1468","1.4777829229499286"
"Denmark","2024-06-30","3183756","8814","0.27684282338219385"
"Diamond-Princess","2024-06-30","712","13","1.8258426966292134"
"Djibouti","2024-06-30","15690","189","1.2045889101338432"
"Dominica","2024-06-30","16038","74","0.4614041651078688"
"Dominican-Republic","2024-06-30","675890","4384","0.6486262557516755"
"Ecuador","2024-06-30","1070188","36043","3.3679129274482613"
"Egypt","2024-06-30","516023","24613","4.769748635235251"
"El-Salvador","2024-06-30","201855","4230","2.0955636471724755"
"Equatorial-Guinea","2024-06-30","17229","183","1.062162632770329"
"Eritrea","2024-06-30","10189","103","1.0108941014819903"
"Estonia","2024-06-30","628070","3001","0.47781298262932476"
"Eswatini","2024-06-30","75191","1427","1.8978335173092524"
"Ethiopia","2024-06-30","501157","7574","1.5113028452161699"
"Europe","2024-06-30","253406198","2101824","0.8294288050523532"
"Faeroe-Islands","2024-06-30","34658","28","0.08078942812626233"
"Falkland-Islands","2024-06-30","1930","null","null"
"Fiji","2024-06-30","69117","885","1.2804375189895394"
"Finland","2024-06-30","1516117","11958","0.7887254083952624"
"France","2024-06-30","40138560","167642","0.4176582318847512"
"French-Guiana","2024-06-30","98041","420","0.42839220326190064"
"French-Polynesia","2024-06-30","79254","650","0.8201478789714084"
"Gabon","2024-06-30","49051","307","0.6258791869686653"
"Gambia","2024-06-30","12626","372","2.946301283066688"
"Georgia","2024-06-30","1861665","17132","0.9202514953012492"
"Germany","2024-06-30","38828995","183027","0.47136682265405017"
"Ghana","2024-06-30","171889","1462","0.8505489007440848"
"Gibraltar","2024-06-30","20550","113","0.5498783454987834"
"Greece","2024-06-30","6101379","37869","0.6206629681585097"
"Greenland","2024-06-30","11971","21","0.1754239411912121"
"Grenada","2024-06-30","19693","238","1.2085512618696999"
"Guadeloupe","2024-06-30","203235","1021","0.5023740989494919"
"Guatemala","2024-06-30","1291293","20289","1.571215827856265"
"Guinea","2024-06-30","38572","468","1.2133153582909884"
"Guinea-Bissau","2024-06-30","9614","177","1.8410651133763263"
"Guyana","2024-06-30","74137","1300","1.7535103929212135"
"Haiti","2024-06-30","34667","860","2.4807453774482937"
"Honduras","2024-06-30","474590","11165","2.352556943888409"
"Hong-Kong","2024-06-30","2937609","14924","0.5080322125919413"
"Hungary","2024-06-30","2230232","49048","2.1992330842710532"
"Iceland","2024-06-30","209906","229","0.10909645269787428"
"India","2024-06-30","45035393","533570","1.1847792690517878"
"Indonesia","2024-06-30","6829221","162063","2.373081790734258"
"Iran","2024-06-30","7627186","146811","1.9248383348721272"
"Iraq","2024-06-30","2465545","25375","1.029184216876999"
"Ireland","2024-06-30","1734582","9491","0.5471635241228145"
"Isle-of-Man","2024-06-30","38008","116","0.3051989054935803"
"Israel","2024-06-30","4841772","12707","0.262445236991746"
"Italy","2024-06-30","26723249","196487","0.7352661347428227"
"Ivory-Coast","2024-06-30","88384","835","0.9447411296162201"
"Jamaica","2024-06-30","156869","3756","2.394354525113311"
"Japan","2024-06-30","33803572","74694","0.2209648140143296"
"Jordan","2024-06-30","1746997","14122","0.808358571880776"
"Kazakhstan","2024-06-30","1411831","13848","0.9808539407336997"
"Kenya","2024-06-30","344130","5689","1.653154331212042"
"Kiribati","2024-06-30","5085","24","0.471976401179941"
"Kuwait","2024-06-30","667158","2570","0.38521609573744153"
"Kyrgyzstan","2024-06-30","206897","2991","1.4456468677651197"
